auction_date,bid_date,bidder_id,bid_id,bid_amount,site_name,auction_id,bstock_condition_name,bstock_category_name
9/10/2022,2022-09-10 17:22:49.000000 UTC,1,16819417,$10 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:50.000000 UTC,1,16819418,$100 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:51.000000 UTC,2,16819419,$101 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:52.000000 UTC,1,16819420,$200 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:53.000000 UTC,2,16819421,$201 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-1 17:22:54.000000 UTC,1,16819422,$300 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:55.000000 UTC,3,16819423,$600 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:56.000000 UTC,2,16819424,$601 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:57.000000 UTC,1,16819425,$700 ,ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:58.000000 UTC,3,16819426,"$1,000 ",ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:59.000000 UTC,2,16819427,"$1,001 ",ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/10/2022,2022-09-10 17:22:59.000000 UTC,1,16819428,"$1,100 ",ABC,1500000,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:22:49.000000 UTC,54c36026421aa90e9061f860,17819417,2750,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:32:46.000000 UTC,6013639cc8ce886da943be4d,17819729,2900,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:12:57.000000 UTC,62e329abff03c2000d83079d,17819098,2580,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 19:11:31.000000 UTC,62e329abff03c2000d83079d,17768280,125,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-07 20:43:17.000000 UTC,54c36026421aa90e9061f860,17771112,500,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-08 22:17:17.000000 UTC,61659a6cc8ce886da7f6cf1f,17789573,1532,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
9/13/2022,2022-09-13 17:24:32.000000 UTC,6013639cc8ce886da943be4d,17819478,2801,ABC,1640483,Brand New,"Apparel, Footwear & Accessories"
